user_id,course_id,course_number,course_name,role_id,report_uri,percentage,status,message,api_response
17003,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/17003/report_17003_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/17003/report_17003_191133C_E-commerce_Cross-Border_Payment_Optimizer.json'],{}
20741,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/20741/report_20741_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,,skipped,Report JSON empty or inaccessible for all tried URIs: ['https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/20741/report_20741_191133C_E-commerce_Cross-Border_Payment_Optimizer.json'],{}
27717,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/27717/report_27717_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
32000,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/32000/report_32000_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
19918,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/19918/report_19918_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
25316,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/25316/report_25316_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
2364,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/2364/report_2364_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
17155,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/17155/report_17155_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
14084,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/14084/report_14084_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
17491,26180,191133C,E-commerce Cross-Border Payment Optimizer,27789,https://zetheta-reports.s3.ap-south-1.amazonaws.com/non-tech-reports/17491/report_17491_191133C_E-commerce_Cross-Border_Payment_Optimizer.json,0.0,error,API call failed: Expecting value: line 1 column 1 (char 0),{}
